name,min,max,cardinality,num_unique_values
t.id,1,2528312,2528312,2528312
t.kind_id,1,7,2528312,6
t.production_year,1880,2019,2528312,133
mc.id,1,2609129,2609129,2609129
mc.company_id,1,234997,2609129,234997
mc.movie_id,2,2525745,2609129,1087236
mc.company_type_id,1,2,2609129,2
ci.id,1,36244344,36244344,36244344
ci.movie_id,1,2525975,36244344,2331601
ci.person_id,1,4061926,36244344,4051810
ci.role_id,1,11,36244344,11
mi.id,1,14835720,14835720,14835720
mi.movie_id,1,2526430,14835720,2468825
mi.info_type_id,1,110,14835720,71
mi_idx.id,1,1380035,1380035,1380035
mi_idx.movie_id,2,2525793,1380035,459925
mi_idx.info_type_id,99,113,1380035,5
mk.id,1,4523930,4523930,4523930
mk.movie_id,2,2525971,4523930,476794
mk.keyword_id,1,134170,4523930,134170
